feature,mean_importance,std_importance,min_importance,max_importance,methods_count,group
population,0.9158476377311275,0.10001114133091789,0.7552674230145867,1.0,4,socioeconomic_raw
lat,0.5472730484438719,0.4362928499365471,0.08012255748046862,1.0,4,spatial
lon,0.5216821157339208,0.40075348526390814,0.11379344635538442,1.0,4,spatial
gdp_per_capita,0.36253866005543517,0.23464270749659946,0.07944917961820092,0.667891543046989,4,socioeconomic_raw
canopy_share,0.26744648352029293,0.17587184574831116,0.044869539153108706,0.45705024311183146,4,canopy
year,0.2167345355085783,0.11441383548030665,0.07135260417759834,0.3419773095623987,4,temporal
population_high_pop,0.2052153302598138,0.23882499260400364,0.0,0.5833017673210866,3,socioeconomic_categorical
pres,0.16904817292356444,0.08252551261428713,0.0317793811924988,0.24937742381728964,4,climate_raw
nightlight,0.14953760923611806,0.06862409124938552,0.03242989414714541,0.20367878901798728,4,socioeconomic_raw
canopy_x_population_high_canopy_low_pop,0.13090362573270456,0.1366000249860936,0.000539741191301339,0.341208854118279,4,socioeconomic_categorical
wind,0.11719958955362984,0.12284110748631394,0.003322636945042233,0.32183387642474603,4,climate_raw
canopy_x_population,0.10096435745949744,0.16682079827111398,0.0,0.3898152553356423,3,interactions
population_low_pop,0.10014342830798412,0.10101295874020312,0.0,0.21985431990875354,3,socioeconomic_categorical
gdp_x_precipitation_low_gdp_rain_days_0_1mm,0.0968713177497294,0.10720772877674657,0.0,0.26129309340663015,3,climate_categorical
population_x_humidity,0.08887106930695877,0.14819224297599978,0.0,0.34545821022687306,3,socioeconomic_categorical
population_category,0.08501399965756415,0.13346805216608626,0.0,0.3155524262426891,3,socioeconomic_categorical
nightlight_urban_high,0.08061402537294643,0.10496849940985714,0.0,0.25632634142389005,3,socioeconomic_categorical
gdp_x_humidity,0.06043658683224194,0.09958164797656466,0.0,0.23283043727918848,3,socioeconomic_categorical
gdp_x_precipitation,0.04992781664462318,0.08508752266824758,0.0,0.19730038627895807,3,socioeconomic_categorical
days_in_bin_25_30,0.048244700836953,0.05312833962794263,0.0017498876167647362,0.13854098171200052,4,temperature_bins
gdp_category,0.047496079576795976,0.08205953488152853,0.0,0.18962713883666119,2,socioeconomic_categorical
canopy_x_population_high_canopy_high_pop,0.0473845009013055,0.07933950581563556,0.0,0.18476653563647216,3,socioeconomic_categorical
gdp_low_gdp,0.04687797284059472,0.050699934290190436,0.00070717604134929,0.127387321011804,4,socioeconomic_categorical
gdp_high_gdp,0.042942736090282485,0.05692397513906244,0.0,0.1387648782164918,3,socioeconomic_categorical
precipitation_rain_days_0_1mm,0.04205048353746047,0.07236895278561853,0.0,0.1673960301469033,3,climate_categorical
canopy_x_gdp_no_canopy_high_gdp,0.04165284166975565,0.06294304543042256,0.0016207455429497568,0.15059441964446948,4,socioeconomic_categorical
canopy_x_population_medium_canopy_low_pop,0.03796521842381743,0.05327437880200355,0.001591808096718736,0.12992875133413898,4,socioeconomic_categorical
canopy_x_nightlight,0.03624439452005375,0.05025587906776241,0.0,0.12210676516982265,3,interactions
gdp_x_precipitation_high_gdp_rain_days_0_1mm,0.03258900284741159,0.05635371649567197,0.0,0.130196437793513,2,climate_categorical
days_in_bin_30_35,0.032141753157815096,0.03837360652825411,0.0009804754195681283,0.09772373056066387,4,temperature_bins
canopy_x_gdp_high_canopy_low_gdp,0.028918087694170758,0.04566188642706534,0.0,0.1078950900506977,3,socioeconomic_categorical
population_x_humidity_high_pop_RH_high,0.02890987238336992,0.05006670410081598,0.0,0.11562794726942847,2,climate_categorical
canopy_x_gdp_high_canopy_high_gdp,0.027063705629996892,0.043977798953142286,0.0,0.10316137382133085,3,socioeconomic_categorical
population_x_humidity_low_pop_RH_high,0.027049093100598103,0.046814247797379874,0.0,0.10813373670768521,2,climate_categorical
days_in_bin_25_30_x_canopy,0.025293374147677624,0.022747444137136873,0.0025665387169056474,0.06215379180238842,4,temperature_interactions
gdp_x_humidity_high_gdp_RH_mid,0.024983335211625844,0.024754436418862675,7.766485533175812e-05,0.05686707859574682,4,climate_categorical
canopy_x_population_low_canopy_medium_pop,0.02233544402915142,0.030891732147082036,0.00025004355292005157,0.07564451424511531,4,socioeconomic_categorical
canopy_x_humidity_no_canopy_RH_mid,0.021948653400571057,0.03052854300491108,0.00012610477439139523,0.07448767400433899,4,climate_categorical
canopy_x_population_high_canopy_medium_pop,0.021809231789136643,0.032999287374215765,0.0,0.078692551491629,3,socioeconomic_categorical
population_medium_pop,0.02173186164837728,0.037539896841754274,0.0,0.08675275295059044,2,socioeconomic_categorical
nightlight_urban_low,0.02057903527946468,0.027076422290862975,0.0,0.06606686429000079,3,socioeconomic_categorical
canopy_x_nightlight_medium_canopy_urban_high,0.01930856733075278,0.02267900060777712,0.0005879923958767942,0.0579378566584689,4,socioeconomic_categorical
nightlight_category,0.018913820129872992,0.027498557740747328,0.0,0.06606686429000079,3,socioeconomic_categorical
month,0.018768620061796252,0.024823258466920232,0.0009017598846683714,0.06139306432240628,4,temporal
population_x_humidity_high_pop_RH_mid,0.018286606798491922,0.03166506820819654,0.0,0.07313211282623001,2,climate_categorical
gdp_x_humidity_low_gdp_RH_high,0.018141791794130203,0.03136934107491712,0.0,0.07247504528775281,2,climate_categorical
canopy_x_nightlight_high_canopy_urban_low,0.018044716834012164,0.0290971429995905,0.0,0.06839753985075137,3,socioeconomic_categorical
days_in_bin_below_neg10,0.017946450366469267,0.02605547076938683,0.00011670106166597172,0.06284345228139451,4,temperature_bins
gdp_x_humidity_high_gdp_RH_high,0.017862368730262482,0.03089571452141334,0.0,0.07137529030708857,2,climate_categorical
days_in_bin_20_25_x_canopy,0.016386614097087034,0.025797761255406403,0.0,0.06102488474999741,3,temperature_interactions
days_in_bin_15_20_x_canopy,0.0157146418383165,0.02052192279115425,0.0,0.05042315561662502,3,temperature_interactions
days_in_bin_10_15,0.015625573056061402,0.008499408499752354,0.0019525674502330244,0.02412823797983457,4,temperature_bins
rhu,0.015416007794977886,0.015707769882715855,0.0,0.03859562873499745,3,climate_raw
days_in_bin_5_10_x_canopy,0.01458868792909636,0.01639954895188929,0.0,0.04077417074597143,3,temperature_interactions
canopy_x_nightlight_medium_canopy_urban_low,0.014243801371037843,0.011949654721730001,0.003375590318714682,0.03438232384478212,4,socioeconomic_categorical
population_x_humidity_medium_pop_RH_high,0.012494049764054547,0.020632713731808933,0.0,0.048214041609683865,3,climate_categorical
canopy_x_nightlight_high_canopy_urban_high,0.012330429244554911,0.021290530985857512,0.0,0.049206620824176296,2,socioeconomic_categorical
days_in_bin_10_15_x_canopy,0.012245353558694511,0.01865766521934962,0.0,0.044499236545718586,3,temperature_interactions
days_in_bin_5_10,0.011218241165005203,0.006327842586259374,0.001695990309143569,0.017828200972447326,4,temperature_bins
days_in_bin_30_35_x_canopy,0.010948722621801854,0.017457136104556646,0.0,0.04116876120943458,3,temperature_interactions
